family,url_or_template,intent_owner,baseline_status,inspection_required,notes
home,/,brand_broad_shop,NOT_COLLECTED_PRE_PRODUCTION,yes,self-canonical
shop,/products,product_browse,NOT_COLLECTED_PRE_PRODUCTION,yes,filters_are_not_separate_targets
category,/products/category/cookies,buy_home_cookies,NOT_COLLECTED_PRE_PRODUCTION,yes,only_when_backend_category_is_published
category,/products/category/mini-cookies,buy_mini_cookies,NOT_COLLECTED_PRE_PRODUCTION,yes,guide_intent_remains_informational
category,/products/category/cakes,buy_cake_and_dessert,NOT_COLLECTED_PRE_PRODUCTION,yes,guide_intent_remains_informational
product,/products/:slug,exact_product_commercial,NOT_COLLECTED_PRE_PRODUCTION,yes,select_real_sitemap_url_after_production
gift,/gift,gift_box_commercial,NOT_COLLECTED_PRE_PRODUCTION,yes,guide_selection_intent_is_informational
corporate,/corporate,b2b_ordering,NOT_COLLECTED_PRE_PRODUCTION,yes,pre_purchase_guides_do_not_own_conversion_intent
guide_hub,/blog,informational_hub,NOT_COLLECTED_PRE_PRODUCTION,yes,conditional_on_published_posts
guide,/blog/:slug,unique_informational_question,NOT_COLLECTED_PRE_PRODUCTION,yes,select_real_published_guides
topic,/blog/topic/:topic,topic_hub,NOT_COLLECTED_PRE_PRODUCTION,yes,conditional_on_published_posts
trust,/quality,product_truth,NOT_COLLECTED_PRE_PRODUCTION,yes,evidence_safe_content_only
trust,/shipping,delivery_policy_truth,NOT_COLLECTED_PRE_PRODUCTION,yes,no_unverified_delivery_claims
trust,/about,brand_entity,NOT_COLLECTED_PRE_PRODUCTION,yes,brand_truth_only
trust,/contact,navigational_contact,NOT_COLLECTED_PRE_PRODUCTION,yes,verified_contact_data
legal,/privacy,legal_policy,NOT_COLLECTED_PRE_PRODUCTION,yes,not_a_traffic_target
legal,/terms,legal_policy,NOT_COLLECTED_PRE_PRODUCTION,yes,not_a_traffic_target
local,/city/:slug,local_transactional,NOT_COLLECTED_PRE_PRODUCTION,conditional,HOLD_without_demand_delivery_truth_and_unique_value
